title,brand,description,price,categories,images,manufacturer,package_dimensions,country_of_origin,material,color,uniq_id
"Lerliuo Nightstand, Side Table, Industrial Bedside Table with 2 Drawers and Open Shelf, Grey Night Stand, End Table with Steel Frame for Bedroom, Dorm, Gray/Black 23.6''H",Lerliuo Store,N/A,39.99,"['Home & Kitchen', 'Furniture', 'Bedroom Furniture', 'Nightstands']","['https://m.media-amazon.com/images/I/41IzLmM91FL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51J83+zKGCL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51W89bfhZgL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51GOSVUqhwL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51I8IT3uVlL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/519ySpbhZiL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/81MKjKUvxhL.SS125_SS522_.jpg']",N/A,"13.78""D x 17.72""W x 23.62""H",N/A,Stone,Grey,fa87da9a-a8cf-51d7-895f-d64b75ee02a3
Chief Mfg.Swing-Arm Wall Mount Hardware Mount Black (TS218SU),Chief Store,"The Chief TS218SU Thin stall Dual Swing-Arm Wall Mount is designed to mount flat-panel displays measuring 26 to 47"" with a maximum weight of 75 lb. Its distance from the wall can range from 1.5 to 18"" and it provides -12 to 0 Degree of tilt and up to 1"" of height adjustment. It can pivot up to 180 Degree depending on the width of your mounted display, and also offers post-installation leveling.",260.8,"['Electronics', 'Television & Video', 'Accessories', 'TV Mounts, Stands & Turntables', 'TV Wall & Ceiling Mounts']","['https://m.media-amazon.com/images/I/41HxUoRXloL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41O0tbqtVfL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41apCz-5USL._SS522_.jpg']",No,2 x 14 x 20 inches,N/A,N/A,Black,4129440e-cfff-5498-b9d6-16ec18b0a285
"DOMYDEVM Black End Table, Nightstand with Charging Station, Bedside Table with Drawer, Small Side Table with USB Ports and Outlets for Bedroom",DOMYDEVM Store,N/A,46.99,"['Home & Kitchen', 'Furniture', 'Living Room Furniture', 'Tables', 'End Tables']","['https://m.media-amazon.com/images/I/41YrmN-yOEL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51ySXwNCU7L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/418lxFzHARL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51HMXH0NWSL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31diULoiHdL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51O4kVaFcmL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/71rbaYe0wnL.SS125_SS522_.jpg']",N/A,"11.81""D x 15.75""W x 23.62""H",N/A,Metal,Black,d553e7ea-4dce-5147-8534-3230f5e7848d
"Table-Mate II PRO TV Tray Table - Folding Table with Cup Holder and Tablet Slot- Couch Desk for Working from Home, TV Trays for Eating, Portable and Adjustable TV Table, Slate Gray",Table-Mate Store,N/A,53.99,"['Home & Kitchen', 'Furniture', 'Game & Recreation Room Furniture', 'Folding Tables & Chairs', 'Folding Tables']","['https://m.media-amazon.com/images/I/31cbTc2VhaL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51iLRDni3SL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/511IENAhEfL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51CwGvaB36L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51lPfhecHFL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/517NNSqzt8L._SS522_.jpg']",Table-Mate,"15""D x 21""W x 29""H",China,N/A,Slate Gray,6ed419d5-318a-5013-a0c4-d182d6ad6471
Gbuzozie 38L Round Laundry Hamper Cute Mermaid Girl Storage Basket Waterproof Coating Organizer Bin For Nursery Clothes Toys,Gbuzozie,N/A,18.99,"['Baby Products', 'Nursery', 'Furniture', 'Storage & Organization', 'Hampers']","['https://m.media-amazon.com/images/I/41hYmELREGL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41VFJB73P8L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31EVYkDak+L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41kqUqbzHdL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41sQFOkD1ZL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41LX+GGgsuL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51+mlUokV-L._SS522_.jpg']",Gbuzozie,"13.8""L x 13.8""W x 16.5""H",N/A,fabric,Mermaid Girl,81c0bc61-6ec2-5484-8388-2c404f3dd8f7
"Tiita Comfy Saucer Chair, Soft Faux Fur Oversized Folding Accent Chair, Lounge Lazy Chair for Kids Teens Adults, Metal Frame Moon Chair for Bedroom, Living Room, Dorm Rooms",Tiita Store,N/A,79.99,"['Home & Kitchen', 'Furniture', 'Living Room Furniture', 'Chairs']","['https://m.media-amazon.com/images/I/41O7mY3lUvL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41SeqOInsyL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51s2LL0DTML._SS522_.jpg ', ' https://m.media-amazon.com/images/I/414XCaSNIDL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41+0p+K3rQL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51Z9c-u5SjL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51ENPkz2zPL.SS125_SS522_.jpg']",Tiita,"21.6""D x 23.6""W x 31.5""H",China,pp cotton,Grey,d5a75f7b-b874-5757-9778-790a1f33be14
"Summer Desk Decor,Welcome Summer Wood Block Sign Desk Decor,Rustic Summer Fruits and Popsicles Wooden Box Plaque Sign Desk Decor for Home Office Shelf Table Decorations",z-crange,"Crafted from premium-quality wood, our desk decor showcases the natural grain and texture of the wood, adding a touch of warmth and sophistication to your desk or office setting. The smooth finish and sturdy construction ensure durability, making it a long-lasting and reliable desk accessory.  Our wooden block box is a decorative accent that enhances the aesthetics of your workspace or home. The natural wood tones and minimalist design seamlessly blend with any decor style, adding a touch of sophistication and elegance to your desk. Our Wooden Block Box Desk Decor also makes a thoughtful gift for coworkers, friends, or loved ones. It's perfect for birthdays, holidays, or as a gesture of appreciation for someone's dedication to their workspace. Cleaning and maintenance are effortless with our wooden block box. Simply wipe it clean with a soft cloth to preserve its pristine appearance and keep it looking its best for years to come.",13.99,"['Home & Kitchen', 'Furniture', 'Home Office Furniture', 'Home Office Desks']","['https://m.media-amazon.com/images/I/51sai4l5ttL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/516siFpFIhL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/4168X67EeuL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41caGwmuxBL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41rqdWN4zSL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41lUUB+cLJL._SS522_.jpg']",z-crange,1.2 x 5 x 5 inches,China,N/A,N/A,02f8cd17-8c4f-5c32-acc0-4af9115c6c20
"Flash Furniture Webb Commercial Grade 24"" Round Blue Metal Indoor-Outdoor Table",Flash Furniture Store,"Create a chic dining space with this industrial style table. The colorful table will add a retro-modern look to your home or eatery. This highly versatile Cafe Table is ideal for use in bistros, taverns, bars and restaurants. You can mix and match this style table with any metal chair, even using different colors. A thick brace underneath the top adds extra stability. The legs have protective rubber feet that prevent damage to flooring. This all-weather use table is great for indoor and outdoor settings. For longevity, care should be taken to protect from long periods of wet weather. The possibilities are endless with the multitude of environments in which you can use this table, for both commercial and residential spaces.",140.0,"['Home & Kitchen', 'Furniture', 'Dining Room Furniture', 'Tables']","['https://m.media-amazon.com/images/I/41IWb+KWq7L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41U+USKYYFL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31Jt9X3ZImL.SS125_SS522_.jpg ', ' https://m.media-amazon.com/images/G/01/HIT/ImageBlockDimension/dimensions_SS522_.png']",N/A,"24""D x 24""W x 29""H",N/A,Metal,Blue,fb5af385-aee6-568c-a22f-e6b90ef92dac
"Mellow 2 Inch Ventilated Memory Foam Mattress Topper, Soothing Lavender Infusion, CertiPUR-US Certified, Queen",Mellow Store,"Best Price Mattress 2-Inch Lavender infused memory foam topper add more comfort to your current sleeping situation with a Best Price Mattress 2-inch Lavender infused memory foam topper. This latest trend in sleep innovation allows you to experience the advantages of memory foam without ""breaking the bank. "" the special ventilation design increases air flow and reduces trapped body heat while the memory foam reduces motion transfer between sleep partners for a better sleeping experience. In addition, the Lavender extract infused into the memory foam topper naturally releases Lavender scent for a relaxing therapeutic aroma to help experience a great night's sleep. Features: layers: 2 inch memory foam infused material: Lavender extract sizes: (inches) twin (39 x 75 x 3) twin XL (39 x 80 x 3) Full (54 x 75 x 3 ) short Queen (60 x 80 x 3) Queen (60 x 74 x 3) King (76 x 80 x 3) safety and performance: foam is CertiPUR-US certified for highest standards sleep in comfort: enjoy a good night’s sleep when you add this 2-inch mattress topper to your bed. Rest assured knowing your body will comfortably lay in the memory foam that will relieve pressure points on your body.",69.99,"['Home & Kitchen', 'Bedding', 'Mattress Pads & Toppers', 'Mattress Toppers']","['https://m.media-amazon.com/images/I/418jBmKzSxL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41FqjIOqLnL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41f7swzU+aL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51YQfINLcPL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41WYYDLP0ZL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41Xs4jy3KDL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41VwAXHvgLL._SS522_.jpg']",No,79 x 59 x 2 inches,China,N/A,N/A,18789491-161e-51d1-86d9-3f0c04ee7237
MAEPA RV Shoe Storage for Bedside - 8 Extra Large Pockets - Dark Grey Rv Shoe Organizer with RV Shoe Pockets - Hanging Bedside Storage for RV Camper Bed Length35.4inches/2.95ft(Dark Grey),MAEPA,"Name: Rv Shoe Pockets 8 Pockets Hanging Bedside Storage OrganizerMaterial: Waterproof Oxford clothColor: GraySize: 0.2""D x 35.4""W x 11.5""HPockets: 8 pcsSingle pocket size: 4.5""L x 3""Wx9""HWeight: 0.45KGCondition: brand newWhen it comes to organization and storage, hanging closet organizers can truly maximize space. Everyone can now have their personalized shoe storage organizer, reducing clutter and promoting order.【Aesthetic Craft】1.The neutral gray shade of the shoe rack storage organizer seamlessly complements any decor style, blending harmoniously with your existing furniture and bedding choices.2. The camper shoe rack is an essential accessory for any shoe enthusiast, offering efficient organization and storage.【Say Goodbye to Mess】1.Hanging shoe pockets are made of high-quality materials and have ample storage capacity, making them the best choice for an efficient shoe storage solution. 2. If you're tired of tripping over your shoes or rummaging through your cluttered closet, consider trying this portable bedside shoe rack organizer and embrace a more organized and organized living space.",16.59,"['Home & Kitchen', 'Storage & Organization', 'Clothing & Closet Storage', 'Shoe Organizers', 'Over the Door Shoe Organizers']","['https://m.media-amazon.com/images/I/31bcwiowcBL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41mPnEJxiOL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51gwtmMBZML._SS522_.jpg ', ' https://m.media-amazon.com/images/I/61A+3oaSIcL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51dAd28F6TL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51QgiX20CfL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51yyaiXCs4L._SS522_.jpg']",MAEPA,"0.2""D x 35.4""W x 11.5""H",China,Oxford,Dark Gray,88c36902-83c8-59f3-98ed-c298c37ff69b
"NearMoon Hand Towel Holder/Towel Ring - Bathroom Towel Bar, Premium Thicken Space Aluminum Towel Rack Wall Towel Hanger, Contemporary Style Bath Hardware Accessories Wall Mounted (Gold)",NearMoon Store,N/A,8.99,"['Tools & Home Improvement', 'Hardware', 'Bathroom Hardware', 'Towel Rings']","['https://m.media-amazon.com/images/I/51eswTC1ufL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41EpQKj4qmL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41T3C5Rl7eL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41lvGR0XMAL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31h5q5fMQ4L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41StKdPp90L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/417zJrpx+2L.SS125_SS522_.jpg']",NearMoon,11 x 1.4 x 2.7 inches,N/A,N/A,N/A,2242a6b3-451f-51e4-8864-51f639adb13d
"FLYJOE Narrow Side Table with PU Leather Magazine Holder Rustic Slim Little Thin Table for Living Room, Bedroom, Sofa, Set of 2, Black",FLYJOE,N/A,49.99,"['Home & Kitchen', 'Furniture', 'Living Room Furniture', 'Tables', 'End Tables']","['https://m.media-amazon.com/images/I/41Hsse9SYsL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41wWdlTFntL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41viRF6qjdL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41JyPPA8InL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41AEHqjD95L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51aUlgpdbGL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51+IuScDUbL._SS522_.jpg']",N/A,"7""D x 16.25""W x 22.25""H",N/A,Engineered Wood,Black-set of 2,7df6de67-891e-567d-b8a5-3d184440a707
Moroccan Leather Pouf Ottoman for Living Room - Round Leather Ottoman Pouf Cover - Unstuffed Pouf Ottoman Leather Foot Stool - Moroccan Pouf Ottoman - Moroccan Ottoman Pouf Leather (Brown),The Moroccan Boho Store,N/A,54.99,"['Home & Kitchen', 'Furniture', 'Living Room Furniture', 'Ottomans']","['https://m.media-amazon.com/images/I/51UKACPPL9L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/516ZrEY37rL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51dkbRKkBKL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/511O6n0dNXL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51MyIc3w+3L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51eaTxOjSoL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/61YoPt1CqsL.SS125_SS522_.jpg']",The Moroccan Boho,"20""D x 20""W x 12""H",Morocco,Leather,Brown,48619980-0cdb-5056-8cb8-e36537a5e953
"AnyDesign Christmas Welcome Doormat Decorative Xmas Holiday Front Floor Mat Indoor Outdoor Carpet Non-Slip Door Mat for Indoor Outdoor Home Office Kitchen Yard Garden Decoration, 17 x 29 Inch",AnyDesign,N/A,16.99,"['Patio, Lawn & Garden', 'Outdoor Décor', 'Doormats']","['https://m.media-amazon.com/images/I/51RpGVRAFcL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51+61AJ+poL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/5191V-BW3nL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51AWA4O19KL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51ahO10rZ7L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/512rBWALiOL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51NVW5uVrxL._SS522_.jpg']",AnyDesign,29 x 17 x 0.01 inches,N/A,N/A,N/A,9e1f462e-0db8-510e-a561-be258e4f343e
GXFC ZHAO Welcome Funny Door Mat Shoes and Bras Off Please Personalized Doormat with Anti-Slip Rubber Back (23.6 X 15.7 inch) Prank Gift Home Decor Area Rugs for The Entrance Way Indoor Novelty Mats,GXFC ZHAO Store,"""★Home Decor Doormat with |ANTI-SLIP|Rubber Back. Colourful print on Non-woven Polyester fiber,【safe for kids and pets】 ★Dimension: 15.7""""(W)x23.6""""(L)(40cmx60cm) 0.12 inch thickness. This is a thin doormat with personalized design or popular quotes on it. Really good choice for Prank Gift、Festival Gift or Domestic Presents. ★【Advantage】This Machine Washable door mats is suitable for Entrance way indoor.Also can use as bedroom mat、bath mat、living room mat or a kitchen mats. Perfect fit for kids room mat、office mat and stairs. Safe for hardwood floors too.  ★【Customer service】:We always try to create a perfect shopping environment. 【0 risk purchase】 is available here, contact us if you have any question about ZQH MATS no matter before or after your purchase ! We will do our best to make you Satisfied. ★【Giving a perfect shopping experience is always our service purposes!】""",24.88,"['Patio, Lawn & Garden', 'Outdoor Décor', 'Doormats']","['https://m.media-amazon.com/images/I/51z8ko3rsiL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/510qZw7TjmL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/61jpP9G1PcL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/514iJC5pdXL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/514fd7RbzEL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41R2rF2zdeL._SS522_.jpg']",ZQH,"23.6""L x 15.7""W",N/A,Rubber,"Colorful,Funny,Novelty,Personalized",7304f972-08ff-5958-b95b-a71825a9d1f5
